File,Date,Time_In_1,Time_Out_1,Time_In_2,Time_Out_2,Time_In_3,Time_Out_3,Time_In_4,Time_Out_4,Time_In_5,Time_Out_5,Time_In_6,Time_Out_6,Cumulative_Time_m,Cumulative_Time_s,Tast_Status,Seal_Presence,Notes
May_24_2023_144714_1264,5/31/2023,12:07:52 PM,12:08:03 PM,,,,,,,,,,,00:11.1,11.10,ON,Y,Seal swims into school of fish. Lots of fish present
May_24_2023_144714_1271,5/31/2023,1:06:55 PM,1:07:05 PM,,,,,,,,,,,00:10.6,10.60,ON,Y,Seal swims into school of fish
May_24_2023_144714_1277,5/31/2023,1:52:22 PM,1:52:38 PM,1:53:14 PM,1:53:22 PM,,,,,,,,,00:24.0,24.00,ON,Y,Seal swims through twice
May_24_2023_144714_1278,5/31/2023,2:01:45 PM,2:01:51 PM,,,,,,,,,,,00:05.3,5.30,ON,Y,Swims across top right. Faint
May_24_2023_144714_1282,5/31/2023,2:30:48 PM,2:31:14 PM,,,,,,,,,,,00:26.1,26.10,ON,U,Not super convincing small looking but change of directions  looks like seal
May_24_2023_144714_2278,6/5/2023,11:38:48 PM,11:39:28 PM,,,,,,,,,,,00:39.5,39.50,ON,U,"Slow moving in the normal speed with not a ton of motion fast forward looks like seal, I am skeptical"
May_24_2023_144714_2280,6/5/2023,11:50:40 PM,11:50:49 PM,,,,,,,,,,,00:08.9,8.90,ON,U,Moves through fast. Doesn't change directions    ***check23:51:29.0
May_24_2023_144714_2291,6/5/2023,1:01:31 AM,1:02:14 AM,,,,,,,,,,,00:42.9,42.90,ON,Y,lots of direction changing and swimming around
May_24_2023_144714_2295,6/5/2023,1:25:55 AM,1:26:21 AM,,,,,,,,,,,00:25.8,25.80,ON,U,Seems small but change of direction super iffy
May_24_2023_144714_2298,6/5/2023,1:53:58 AM,1:54:17 AM,,,,,,,,,,,00:19.2,19.20,ON,U,Time is good to the second but not further because blocking of time in bottom right
May_24_2023_144714_2299,6/5/2023,1:54:57 AM,1:55:22 AM,,,,,,,,,,,00:24.8,24.80,ON,U,sharp turning behavior
May_24_2023_144714_2377,6/6/2023,12:31:37 PM,12:32:03 PM,12:32:46 PM,12:33:16 PM,,,,,,,,,00:55.5,55.50,ON,U,faint but can see it hit a school of fish and the fish disappear.  Seal is small
May_24_2023_144714_2384,6/6/2023,1:27:41 PM,1:28:23 PM,,,,,,,,,,,00:42.1,42.10,ON,Y,Most clear seal path so far. Seal swims with sharp turns
May_24_2023_144714_2389,6/6/2023,2:09:28 PM,2:09:38 PM,,,,,,,,,,,00:10.3,10.30,ON,Y,swims straight scares what looks like a school of fish
May_24_2023_144714_2392,6/6/2023,2:25:04 PM,2:26:11 PM,2:26:53 PM,2:27:26 PM,,,,,,,,,01:39.6,99.60,ON,Y,Seal starts in the beam so time is likely higher. Lot of foraging behavior
May_24_2023_144714_2399,6/6/2023,3:16:45 PM,3:19:48 PM,,,,,,,,,,,03:03.7,183.70,ON,Y,In and out a lot. Foraging Not in frame at all times could probably get more accurate in and out
May_24_2023_144714_2400,6/6/2023,3:22:10 PM,3:23:12 PM,3:24:44 PM,3:25:32 PM,3:26:33 PM,3:27:12 PM,3:27:59 PM,3:28:23 PM,,,,,02:52.4,172.40,ON,Y,Four separate seal feeding events. Clearly hitting schools of fish. Cool file
May_24_2023_144714_2413,6/6/2023,4:51:47 PM,4:51:50 PM,4:53:52 PM,4:53:59 PM,,,,,,,,,00:10.7,10.70,ON,Y,Both really faint. Fish schools show a lot more activity than recorded here but not the seals
May_24_2023_144714_3576,6/12/2023,10:04:17 AM,10:04:29 AM,,,,,,,,,,,00:12.1,12.10,ON,U,Found very faint track. Could be not a seal for sure Really don't think it is seal
May_24_2023_144714_3584,6/12/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Don't see seal but there is a fish response in bottom right at 23:03:29.1
May_24_2023_144714_3588,6/12/2023,11:33:09 PM,11:33:27 PM,,,,,,,,,,,00:18.4,18.40,ON,U,Really faint and not a super clear track
May_24_2023_144714_3591,6/12/2023,11:48:40 PM,11:49:24 PM,,,,,,,,,,,00:44.0,44.00,ON,U,Faint but clear movement and fish responses
May_24_2023_144714_3595,6/12/2023,12:15:10 AM,12:15:23 AM,,,,,,,,,,,00:13.3,13.30,ON,U,Probably not a seal. Way too small so is either a salmon or a baby seal
May_24_2023_144714_3602,6/12/2023,1:11:40 AM,1:11:57 AM,,,,,,,,,,,00:17.0,17.00,ON,U,Looks a lot more like a fish in it's movement to me
May_24_2023_144714_3605,6/12/2023,1:34:53 AM,1:35:32 AM,,,,,,,,,,,00:39.5,39.50,ON,U,Faint and  bit small but the swim track looks smooth like a seal pretty questionable though. I think no
May_24_2023_144714_3610,6/12/2023,2:13:19 AM,2:13:26 AM,,,,,,,,,,,00:06.5,6.50,ON,Y,small and fairly faint in general
May_24_2023_144714_3611,6/12/2023,2:21:43 AM,2:22:04 AM,,,,,,,,,,,00:21.3,21.30,ON,U,"Very small, slightly curvy pathway"
May_24_2023_144714_4989,6/20/2023,11:31:43 PM,11:31:47 PM,,,,,,,,,,,00:04.2,4.20,ON,Y,Very quick swim through on left side
May_24_2023_144714_4999,6/20/2023,12:00:32 AM,12:00:35 AM,12:06:14 AM,12:06:20 AM,,,,,,,,,00:09.7,9.70,ON,Y,quick swim through second appearance is weird though with the way the seal hits the fish
May_24_2023_144714_1156,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present; start of the TAST on files
May_24_2023_144714_1157,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present
May_24_2023_144714_1158,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present        Bright spot starting at 22:18:54.2 moves across. Does not look like seal
May_24_2023_144714_1159,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Small predator that leaves a bright trail behind it. Birds
May_24_2023_144714_1160,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present
May_24_2023_144714_1161,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Two spots where birds swim across
May_24_2023_144714_1162,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No seals present
May_24_2023_144714_1163,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Birds Present No Seals
May_24_2023_144714_1164,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present
May_24_2023_144714_1165,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals present
May_24_2023_144714_1166,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1167,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1168,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1169,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1170,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1171,5/30/2023,12:14:08 AM,12:14:26 AM,,,,,,,,,,,00:17.8,17.80,ON,Y,"Swims across and hits surface causing small amount of bubbles in one spot on it's track, Size looks right"
May_24_2023_144714_1172,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1173,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present. Something roughly small seal shaped drifts slowly across starting at 00:32:25.0
May_24_2023_144714_1174,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1175,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1176,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1177,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1178,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1179,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1180,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1181,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present White hot spinning ball in the later half of file
May_24_2023_144714_1182,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1183,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1184,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1185,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1186,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1187,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1188,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1189,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1190,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1191,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1192,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1193,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1194,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1195,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1196,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1197,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1198,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1199,5/30/2023,3:38:58 AM,3:39:08 AM,3:43:47 AM,3:44:06 AM,,,,,,,,,00:28.3,28.30,ON,Y,Foraging Behavior
May_24_2023_144714_1200,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1201,5/30/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1263,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1265,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1266,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1267,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1268,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1269,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1270,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1272,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1273,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1274,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1275,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1276,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1279,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1280,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1281,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1283,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1284,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1285,5/31/2023,2:54:48 PM,2:54:56 PM,2:55:49 PM,2:55:58 PM,,,,,,,,,00:16.8,16.80,ON,U,First one is a bit more convincing than the second one. Second time the shape is right but the movement doesn’t change
May_24_2023_144714_1286,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1287,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1288,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1289,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,"No Seals Present Interesting, you can see two water layers moving in different directions."
May_24_2023_144714_1290,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1291,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present a few birds though
May_24_2023_144714_1292,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1293,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1294,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Thing that looks like a small seal but when looking at it in normal speed it does not move fast at all and doesn't seem to be a seal
May_24_2023_144714_1295,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1296,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1297,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1298,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1299,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_1300,5/31/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,Thing shaped a lot like a seal but does not move and is getting swept by the current. I don't think that it is a seal.
May_24_2023_144714_2264,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2265,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2266,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2267,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2268,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2269,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2270,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2271,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2272,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2273,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2274,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2275,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2276,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2277,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2279,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2281,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2282,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2283,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2284,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2285,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2286,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2287,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2288,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2289,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2290,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2292,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2293,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2294,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
May_24_2023_144714_2296,6/5/2023,,,,,,,,,,,,,00:00.0,0.00,ON,N,No Seals Present
